specie	formula	sistema_xx	status	sottogruppo	gruppo	supergruppo	famiglia	sottoclasse	classe
Abellaite	NaPb2(CO3)2(OH)	Hexagonal	Approved		hydrocerussite		copper	carbonates	carbonates and nitrates
Abelsonite	NiC31H32N4 	Triclinic	Approved		abelsonite			unclassified organic compounds	organic compounds
Abenakiite-(Ce)	Na26Ce6(SiO3)6(PO4)6(CO3)6(S4+O2)O	Trigonal	Approved		steenstrupine			cyclosilicates	"silicates 
[cluster]"
Abernathyite	K(UO2)(AsO4)·3H2O	Tetragonal	Grandfathered	metazeunerite	meta-autunite			uranyl arsenates	phosphates, arsenates, vanadates
Abhurite	Sn2+21O6(OH)14Cl16	Trigonal	Approved		abhurite			oxyhalides, hydroxyhalides	halides
Abramovite	Pb2SnIn3+BiS7	Orthorhombic	Approved		cylindrite		copper	sulfosalts	sulfides and sulfosalts
Abswurmbachite	Cu2+Mn3+6(SiO4)O8	Tetragonal	Approved		braunite		copper	nesosilicates	"silicates 
[cluster]"
Abuite	CaAl2(PO4)2F2	Orthorhombic	Approved		abuite			phosphates	phosphates, arsenates, vanadates
Acanthite	Ag2S	Monoclinic	Grandfathered		eucairite	eucairite	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Acetamide	CH3CONH2	Trigonal	Approved		acetamide			salts of organic acids	organic compounds
Achalaite	Fe2+TiNb2O8	Monoclinic	Approved		wodginite	stibiocolumbite	copper		oxides
Achávalite	FeSe	Hexagonal	Renamed		nickeline	nickeline	copper	sulfides, selenides, tellurides, arsenides, antimonides, bismuthides, etc.	sulfides and sulfosalts
Achyrophanite	(K,Na)3(Fe3+,Ti,Mg)5O2(AsO4)5	Orthorhombic	Approved		achyrophanite			arsenates	phosphates, arsenates, vanadates
Acmonidesite	[(NH4)7Pb2+]NaFe2+4(SO4)5Cl8	Orthorhombic	Approved		acmonidesite			sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
Actinolite	?Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2	Monoclinic	Redefined	calcium amphibole	hydroxy-fluoro-chloro-amphibole	amphibole		inosilicates	"silicates 
[chain-ribbon]"
Acuminite	SrAlF4(OH)·H2O	Monoclinic	Approved	acuminite	prosopite	gearksutite		complex halides	halides
Adachiite	CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)	Trigonal	Approved	adachiite	calcic tourmaline	tourmaline		cyclosilicates	"silicates 
[cluster]"
Adamite	Zn2+Zn2+(AsO4)(OH)	Orthorhombic	Grandfathered	adamite	olivenite			arsenates	phosphates, arsenates, vanadates
Adamsite-(Y)	NaY(CO3)2·6H2O	Triclinic	Approved		thomasclarkite			carbonates	carbonates and nitrates
Adanite	Pb2(Te4+O3)(SO4)	Monoclinic	Approved		bodieite			tellurite-sulfates	oxides
Addibischoffite	Ca4Al12O4[Al12O36]	Triclinic	Approved	sapphirine	sapphirine			aluminates	oxides
Adelite	CaMg(AsO4)(OH)	Orthorhombic	Grandfathered		conichalcite	descloizite		arsenates	phosphates, arsenates, vanadates
Admontite	MgB6O10·7H2O	Monoclinic	Approved		aksaite			hexaborates	borates
Adolfpateraite	K(UO2)(SO4)(OH)(H2O)	Monoclinic	Approved		adolfpateraite			uranyl sulfates	sulfates, selenates, tellurates, chromates, molybdates and wolframates
